Item,Calories,Fats,Protein,Carbs,Sodium,Vegan,Vegetarian,Egg,Milk,Peanut,Treenut,Fish,ShellFish,Wheat,Soy
BLT sandwich,420,15,17,56,770,No,No,No,No,No,No,No,No,Yes,Yes
chicken salad croissant,410,22,19,34,790,No,No,Yes,Yes,No,No,No,No,Yes,Yes
crispy chicken sandwich,460,16,22,57,1180,No,No,No,No,No,No,No,No,Yes,Yes
spicy crispy chicken sandwich,460,15,22,58,1270,No,No,No,No,No,No,No,No,Yes,Yes
ham & swiss sandwich,440,13,25,58,1120,No,No,No,Yes,No,No,No,No,Yes,Yes
italiano grilled bagel sandwich,620,29,31,61,1870,No,No,No,Yes,No,No,No,No,Yes,Yes
turkey bacon club sandwich,480,14,28,61,1240,No,No,No,No,No,No,No,No,Yes,Yes
grilled cheese panini,450,14,23,59,1530,No,Yes,No,Yes,No,No,No,No,Yes,Yes
steak & cheese panini,510,19,27,58,1510,No,No,No,Yes,No,No,No,No,Yes,Yes
tuscan chicken panini,510,18,31,56,1400,No,Yes,No,Yes,No,No,No,No,Yes,Yes
chipotle chicken grilled wrap,430,19,27,40,1060,No,No,No,Yes,No,No,No,No,Yes,Yes
chipotle steak grilled wrap,450,21,24,40,1140,No,No,No,Yes,No,No,No,No,Yes,Yes
chili,290,16,18,20,1180,No,No,No,No,No,No,No,No,No,Yes
bistro french onion soup,230,9,10,26,960,No,No,No,Yes,No,No,No,No,Yes,Yes
classic chicken noodle soup,120,1.5,5,21,710,No,No,No,Yes,No,No,No,No,Yes,Yes
cream of broccoli soup,150,7,6,16,680,No,Yes,No,Yes,No,No,No,No,Yes,Yes
cream of field mushroom soup,150,3,2,29,650,No,Yes,No,Yes,No,No,No,No,Yes,Yes
cream sundried tomato soup,210,13,5,19,740,No,Yes,No,Yes,No,No,No,No,No,Yes
east coast clam chowder,190,7,9,23,680,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
harvest vegetable soup,80,0.4,4,14,590,Yes,Yes,No,No,No,No,No,No,Yes,Yes
hearty potato bacon soup,230,13,6,22,760,No,No,No,Yes,No,No,No,No,No,Yes
italian wedding soup,160,3,4,28,650,No,No,No,Yes,No,No,No,No,Yes,Yes
caesar salad,310,24,11,14,830,No,Yes,No,Yes,No,No,No,No,Yes,Yes
garden salad,140,11,2,11,310,Yes,Yes,No,No,No,No,No,No,Yes,Yes
apple fritter,290,8,7,48,330,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
caramel apple fritter,300,8,7,52,390,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
chocolate dip doughnut,190,6,4,31,210,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
honey dip doughnut,190,6,4,31,210,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
maple dip doughnut,190,6,4,31,210,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
vanilla dip doughnut,250,6,4,46,210,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
chocolate glazed doughnut,280,14,4,37,320,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
chocolate toasted coconut doughnut,310,16,4,39,330,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Cinnamon Sugar Doughnut,220,10,3,28,270,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
double chocolate Doughnut,270,14,4,35,320,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Old Fashion Dip Doughnut,250,10,3,36,270,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Old Fashion Glazed Doughnut,270,10,3,41,270,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Old Fashion Plain Doughnut,210,10,3,25,260,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Sour Cream Glazed Doughnut,340,16,3,46,220,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Sour Cream Plain Doughnut,270,16,3,27,210,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Strawberry Double Chocolate Doughnut,310,14,4,45,320,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Boston Cream Doughnut,220,6,5,37,250,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Canadian Maple Doughnut,210,6,5,37,250,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Chocolate Whoppie Pie Doughnut,300,13,5,41,220,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Raspberry Doughnut,200,5,4,33,220,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Raspberry Truffel Doughnut,290,9,4,47,210,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Strawberry Shortcake Doughnut,250,9,5,38,250,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Strawberry Vanilla Doughnut,270,5,5,52,230,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Game Day Supreme Doughnut,260,6,5,48,250,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Honey Cruller Doughnut,310,18,2,37,200,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Apple Fritter Timbit,50,1.5,1,9,40,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Honey Dip Timbit,45,1,1,8,30,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Birthday Cake Timbit,80,3,1,12,60,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Chocolate Glazed Timbit,70,3,1,10,85,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
Chocolate Toasted Coconut Timbit,80,4,1,10,85,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
